,Time_1,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,acc,direction_change,theta,smooth_theta,dt,gryo_readings,complementary_theta
0,-0.0009455000982,-0.240100708,1.278341675,8.767268372,-0.09467618912,-0.1051210165,0.06356842071,-22.92828369,-31.26078033,49.01675415,8.863227431060057,0,233.74173894592326,0.0,0.0,359.99284164855925,0.0
1,0.01895549998,0.1868115234,1.154549103,10.35711227,-0.01027592644,0.05871709809,0.06425992399,-24.05801392,-36.39473724,52.931427,10.422938968923194,0,236.53409944038026,0.0,0.019901000078199997,359.99284164855925,0.0
2,0.03885549994,-0.02140548706,1.144669647,9.345366211,-0.08224706352,-0.05314359814,0.07605154812,-26.27325439,-38.53916168,54.08218384,9.41523214866951,0,235.71662125025625,0.0,0.019899999960000005,359.99284164855925,0.0
3,0.0587564999,0.05748046875,1.031954041,9.830806732,-0.06582947075,0.02765060589,0.07173399627,-26.10479736,-33.52210236,50.42266846,9.884988323157517,0,232.09089906224582,0.0,0.01990099996,359.99284164855925,0.0
4,0.07865749998,0.004041595459,1.005908203,9.421108704,-0.09254486114,-0.004356751218,0.068725802,-22.33877563,-35.56464386,51.80734253,9.47465866719963,0,237.86635066409866,0.0,0.01990100008,359.99284164855925,0.0
5,0.09855849994,0.08666976929,0.9538165283,9.704020386,-0.07735424489,0.05329455435,0.05663123354,-23.16879272,-40.19358063,55.88360596,9.751168610503596,0,240.0395538840238,0.0,0.01990099996,359.99284164855925,0.0
6,0.1184594999,0.009580078125,0.9469308472,9.520801392,-0.1033941582,0.04102819413,0.04981672019,-26.21636963,-36.35916901,52.4291687,9.567780774724351,0,234.20693568132083,0.0,0.01990099996,359.99284164855925,0.0
7,0.1383605,0.01496887207,0.9237290955,9.697883148,-0.09014998376,0.08788447082,0.04714708403,-24.54150391,-32.47942352,49.99786377,9.741788186019376,0,232.92524781892956,0.0,0.019901000099999996,359.99284164855925,0.0
8,0.1582604999,0.01167572021,0.9765692139,9.532926178,-0.07828129083,0.07900358737,0.05170815811,-22.62112427,-36.96231842,53.90509033,9.582823449650808,0,238.53315865984223,0.0,0.019899999899999993,359.99284164855925,0.0
9,0.1781614999,0.07753875732,0.9874964905,9.717043304,-0.03983642906,0.09675637633,0.06427066773,-24.56845093,-39.7783432,55.00952148,9.767399456838437,0,238.29911849719645,0.0,0.019901000000000002,359.99284164855925,0.0
10,0.1980625,0.02814147949,0.9686357117,9.746531982,-0.02078156546,0.0792171061,0.07616846263,-26.08981323,-34.63162994,50.32339478,9.794586911197293,0,233.00737864117406,0.0,0.01990100010000001,359.99284164855925,0.0
11,0.2179634999,0.005987548828,0.9696835327,9.854607239,-0.007891651243,0.06235579029,0.08243773878,-23.52386475,-32.93061066,50.78353882,9.902202070210532,0,234.46001809819043,0.0,0.019900999899999994,359.99284164855925,0.0
12,0.2378644999,-0.07544311523,0.8987310791,9.896071014,0.005148036405,0.03292544559,0.08845686913,-23.253479,-38.72171783,55.20550537,9.937083612927228,0,239.01400088759954,0.0,0.019901000000000002,359.99284164855925,0.0
13,0.2577655,-0.06571334839,0.8577163696,10.09919861,0.03489533067,0.02211660147,0.09474351257,-25.58450317,-38.05548859,53.42861938,10.135768751262152,0,236.0872687896461,0.0,0.019901000099999983,359.99284164855925,0.0
14,0.2776654999,-0.07484436035,0.9117539978,9.964179382,0.03612193093,-0.004939910024,0.09505298734,-24.99026489,-32.78606415,49.64590454,10.00608653707604,0,232.68454697751372,0.0,0.01989999990000002,359.99284164855925,0.0
15,0.2975664999,-0.0758921814,0.9499246216,9.843230896,0.02912117355,-0.01566946693,0.09698618203,-22.69018555,-34.72170258,52.38311768,9.889252291345818,0,236.83590100620134,0.0,0.019901000000000002,359.99284164855925,0.0
16,0.3174675,-0.07783813477,0.8442443848,9.777367859,0.03161921725,-0.02305963635,0.08798618615,-40.17272949,-9.664291382,18.45626831,9.814057754399911,0,193.5265254022986,0.0,0.01990100010000001,359.99284164855925,0.0
17,0.3373685,-0.01586700439,0.7934999084,9.743687897,0.04127871618,-0.01852130704,0.07248405367,-41.83355713,-6.054611206,13.70822144,9.775957635986533,0,188.2352896518566,0.0,0.019901000000000002,359.99284164855925,0.0
18,0.3572694999,0.01781295776,0.8090675354,9.630822601,0.03071539477,-0.01344992127,0.05326057225,-40.16821289,-2.091629028,11.68667603,9.664763398564643,0,182.98079918024632,0.0,0.019900999899999994,359.99284164855925,0.0
19,0.3771705,0.06750961304,0.7676037598,9.58890976,0.02075256221,0.005475957878,0.03757667169,-39.61291504,-6.33380127,17.09677124,9.61982138427399,0,189.0842617490233,0.0,0.01990100010000001,359.99284164855925,0.0
