rssi_1,rssi_2,distance_rssi_1,distance_rssi_2
-67,-79,1.8092178753868842,6.360097889347027
-67,-79,1.8110344847665665,6.362386676678747
-67,-79,1.8128279980874207,6.364665735927244
-67,-79,1.8145988863187463,6.366933883217064
-67,-79,1.816347623407593,6.369189933053667
-67,-79,1.818074518765374,6.371432698344719
-67,-78,1.8197798840289752,6.373660550146726
-67,-78,1.8214640330198977,6.375871857356431
-67,-78,1.823127197745743,6.37806469303017
-67,-78,1.82476952798209,6.380235511734567
-67,-78,1.8263911749774597,6.3823807634431216
-67,-78,1.8279922914329279,6.384497187685135
-67,-78,1.8295731999916975,6.386582843572805
-67,-78,1.8311342252839373,6.388638436016447
-67,-78,1.8326755250927067,6.390664671304391
-68,-78,1.834197300784935,6.392660490711928
-68,-78,1.83569975519614,6.394624834652082
-68,-78,1.8371830926063768,6.396555464437118
-68,-78,1.8386475187163638,6.398450139222652
-68,-79,1.840093240623828,6.400309416207083
-69,-79,1.8415211876439102,6.4021337064532196
-69,-79,1.842932207779563,6.403923422106406
-69,-79,1.8443271522451148,6.405681336311222
-69,-79,1.8457068753883297,6.407410078255139
-69,-87,1.8470722346164035,6.409112427990709
-69,-87,1.8484240903258795,6.410791168899863
-70,-87,1.8497633484289457,6.412449087584977
-70,-87,1.851090832575333,6.414088973772001
-70,-87,1.8524073690951475,6.4157136202256995
-71,-87,1.8537140430474097,6.4173258226770225
-71,-87,1.8550119427892542,6.418926014942516
-71,-87,1.8563021599207232,6.42051463134995
-71,-87,1.857585746463449,6.422092106730236
-71,-87,1.858863757473062,6.423658728499488
-71,-87,1.8601372510043075,6.425214784418381
-71,-87,1.8614072880821644,6.426758194881665
-71,-87,1.8626749326790273,6.4282868783610585
-71,-87,1.8639407366720095,6.4297988995011055
-71,-87,1.8652052534597472,6.431292321256106
-71,-87,1.8664694677281786,6.432765204942978
-71,-87,1.8677336357367313,6.434217536293204
-71,-86,1.8689980144427014,6.435649153048899
-71,-86,1.8702628615013632,6.437060189456981
-71,-86,1.8715284352664598,6.43844959408635
-71,-86,1.8727949947910087,6.439813645741387
-68,-86,1.8740626703728211,6.441148620358109
-68,-86,1.8753315926610494,6.442450791161106
-68,-86,1.8766018926569945,6.443716428842245
-68,-86,1.8778735287564767,6.444941801760654
-68,-86,1.8791464592403209,6.4461264415697705
-68,-86,1.8804206422740541,6.447271661809156
-69,-86,1.8816960792352666,6.448374917243986
-69,-86,1.8829727715032663,6.449433661699569
-69,-86,1.8842507204590806,6.4504454967583715
-69,-84,1.885529927485452,6.45140713220673
-69,-84,1.8868103505214266,6.452314534155086
-69,-84,1.8880919473897346,6.453164559297741
-69,-85,1.8893746757965073,6.453955253023973
-69,-85,1.8906584933310169,6.454684661377897
-69,-85,1.891943357465422,6.455350831240036
-69,-85,1.8932292255545264,6.455951810514666
-69,-85,1.8945161857040753,6.456485648323112
-69,-85,1.8958043262578614,6.45695039520267
-69,-85,1.8970937794804597,6.457343211196424
-69,-85,1.8983847654183301,6.457661258002276
-69,-85,1.8996775047150176,6.457901699294656
-69,-85,1.9009722186130678,6.458061701058393
-69,-85,1.9022691289561806,6.458138431935091
-69,-85,1.9035684581916068,6.458130253212965
-69,-85,1.904869420564073,6.458035529495004
-69,-85,1.9061710964929015,6.457850695848188
-69,-85,1.907472563880844,6.457576652156733
-69,-85,1.908772898112896,6.457215193972518
-69,-94,1.9100711720595211,6.456769458099904
-69,-94,1.9113664560844164,6.4562418405617725
-77,-94,1.9126581703813768,6.455633996547406
-77,-94,1.9139457336148273,6.454947583662092
-77,-94,1.9152285629314465,6.454184261724513
-77,-94,1.9165060739736384,6.453345692568504
-77,-94,1.9177776808947022,6.452435174149375
-77,-94,1.9190427963758456,6.4514560050585406
-77,-94,1.9203007874284355,6.450411484165851
-77,-89,1.9215510195159617,6.449303425271344
-77,-89,1.9227928565783488,6.448133642863569
-79,-89,1.924025838267728,6.446905139508741
-79,-89,1.9252495032183288,6.445616613109867
-79,-83,1.9264633890678609,6.444265873981742
-79,-83,1.9276669437076752,6.442851329472842
-79,-83,1.9288597470998676,6.441371390228096
-79,-85,1.9300413783927313,6.439824766915169
-79,-85,1.9312114159441063,6.438211211244341
-82,-85,1.9323695263345446,6.4365332932297425
-82,-85,1.9335153756146195,6.434793582239905
-82,-85,1.9346486293251715,6.4329949429988345
-82,-85,1.935768952518072,6.4311402387546135
-82,-85,1.9368760097776185,6.429232923180041
-82,-85,1.9379694652424562,6.427276447256115
-82,-85,1.9390489826280706,6.425274259000846
-82,-85,1.9401142252498893,6.4232286200137425
-78,-85,1.941164677259,6.421142381389441
-78,-85,1.9421998667936387,6.419018391378192
-78,-85,1.9432193213913433,6.416860677242675
-79,-85,1.944222612793088,6.414672670642389
-79,-85,1.9452090883541349,6.412457799064591
-79,-85,1.9461780945831693,6.4102194856722114
-79,-85,1.947128977198769,6.407961149170149
-79,-85,1.94806108118802,6.40568664617891
-79,-85,1.9489737508673217,6.403399828016094
-79,-85,1.9498663299453802,6.401104688001871
-79,-85,1.9507382065057517,6.398804182428446
-79,-85,1.951588768235111,6.396501263369957
-79,-83,1.9524174024876948,6.3941988786644925
-80,-81,1.95322345137698,6.391899088836215
-80,-81,1.9540062567464274,6.389602627311281
-80,-81,1.954765160245033,6.387310226462621
-80,-81,1.9554994133509653,6.385023499737667
-80,-81,1.9562082673749797,6.38274405827952
-80,-81,1.9568909735543827,6.380474098606704
-80,-81,1.9575467831499027,6.37821581413796
-80,-81,1.9581749475452717,6.375969780294961
-80,-81,1.9587746281447387,6.3737364249794695
-80,-81,1.9593450316936327,6.371516175549839
-80,-81,1.9598853653343173,6.369308285559746
-80,-85,1.9603948367243018,6.367112596087059
-80,-85,1.9608726541574912,6.364926603556297
-80,-82,1.9613180266884687,6.362747368344387
-68,-82,1.9617295318729056,6.36057195487148
-68,-82,1.9621057929777812,6.358397431576594
-68,-82,1.9624454340822568,6.356220870906701
-68,-82,1.9627469899399175,6.354039349319414
-68,-82,1.963008996577907,6.351851117353168
-68,-82,1.963229991584668,6.349654427982821
-69,-82,1.9634085596175668,6.347447536640459
-69,-82,1.9635435587887464,6.345228701241164
-77,-82,1.9636342114651708,6.342996182213505
-77,-82,1.9636797428421107,6.340749410543794
-77,-82,1.96367938111897,6.338487818139489
-77,-82,1.963632628963607,6.336210837842227
-77,-82,1.9635389923556652,6.333917903441628
-77,-82,1.9633977546597787,6.331608449689425
-77,-82,1.9632082028757576,6.3292810378917395
-77,-82,1.962969627814038,6.326934523008984
-77,-82,1.9626813242732166,6.324567616267913
-78,-82,1.9623426364042937,6.3221790310460495
-78,-82,1.9619529126718256,6.319768792577155
-78,-82,1.9615117770185484,6.317336926317213
-78,-82,1.9610188577732266,6.314883457943985
-78,-82,1.9604737877530334,6.312408413356569
-78,-82,1.9598762946216302,6.3099118186749195
-78,-82,1.9592261106163655,6.307392102675408
-78,-82,1.9585229726264983,6.304847696929787
-78,-84,1.957766532112731,6.3022792125948275
-78,-84,1.9569564454926216,6.299687260161139
-78,-84,1.9560923742429261,6.297072449430563
-78,-84,1.955173985001817,6.294436259102797
-76,-84,1.9542009946682195,6.291780165677098
-76,-84,1.953173125412095,6.289105208968222
-76,-84,1.9520901047637027,6.286412137741937
-75,-84,1.9509516207802067,6.283701699684088
-75,-81,1.949757367166611,6.280974207505618
-75,-81,1.9485070433769407,6.278229973555019
-75,-81,1.9472003098791637,6.275469309810284
-75,-81,1.9458368332173313,6.272692527870892
